i A B C D
0 0.25 0.25 0.25 0.25
1 0.12 0.21 0.21 0.46
2 0.1 0.27 0.27 0.35
3 0.14 0.21 0.21 0.44
4 0.11 0.27 0.27 0.36
5 0.13 0.22 0.22 0.43
6 0.11 0.26 0.26 0.37
7 0.13 0.22 0.22 0.43
8 0.11 0.26 0.26 0.37
9 0.13 0.22 0.22 0.42
10 0.11 0.25 0.25 0.38
11 0.13 0.23 0.23 0.42
12 0.11 0.25 0.25 0.38
13 0.13 0.23 0.23 0.42
14 0.11 0.25 0.25 0.39
15 0.12 0.23 0.23 0.41
16 0.12 0.25 0.25 0.39
17 0.12 0.23 0.23 0.41
18 0.12 0.25 0.25 0.39
19 0.12 0.23 0.23 0.41
20 0.12 0.25 0.25 0.39
21 0.12 0.24 0.24 0.41
22 0.12 0.24 0.24 0.39
23 0.12 0.24 0.24 0.41
24 0.12 0.24 0.24 0.39
25 0.12 0.24 0.24 0.4
26 0.12 0.24 0.24 0.4
27 0.12 0.24 0.24 0.4
28 0.12 0.24 0.24 0.4
29 0.12 0.24 0.24 0.4
